company,job-title,level,description,url
TileDB,Python/C++ API Bindings Engineer,Entry level,"We are looking for a Python-focused software engineer to build and enhance our existing APIs and integrations with the Scientific Python ecosystem. TileDB’s Python API builds on the TileDB C++ library, and integrates closely with NumPy to provide zero-copy data access. You will enhance and release the TileDB-Py API; help to maintain the TileDB Cloud Python API; build new integrations with data science, scientific, and machine learning libraries; and engage with the community and customers to create value through the use of TileDB.LocationOur headquarters are in Cambridge, MA, USA and we have a subsidiary in Athens, Greece. However, you will have the flexibility to work remotely (GMT -7 to GMT +3) as long as your legal residence is in the USA or Greece.ExpectationsIn your first 30 days, you will familiarize yourself with TileDB, the TileDB-Py API, and the TileDB Cloud platform. After 30 days, you will be fully integrated in our team. You’ll be an active contributor and maintainer of the TileDB-Py project, and ready to start designing and implementing new features, as well as engaging with the Python and Data Science community.Requirements5+ years of experience as a software engineer, or strong evidence of prior independent work (e.g. open source contributions)Expertise in Python and experience with NumPyExperience with C++Significant experience with foreign function interface calls to C or C++, ideally from PythonExperience with Python packaging, including compiled binary distribution using conda or wheelsAny of the following skills would be highly desirable but not required:Experience with Python FFI/binding technology, such as pybind11 (preferred), cython, SWIG, ctypes, or bare CPython APIExperience with C, Rust, Swift, or another system-level languageExperience with distributed computation (e.g. Dask, Spark, Airflow, MPI, Argo, or similar)Experience with machine learning libraries (e.g. scikit-learn, TensorFlow, Keras, PyTorch)Experience with Amazon Web Services or other cloud platforms (Azure, Google Cloud)Experience with dataframe-focused systems (e.g. Arrow, Pandas, data.frame, Polars)Experience with technical data formats such as (e.g. Parquet, HDF5, VCF, DICOM, GeoTIFF)Experience with other technical computing systems (e.g. R, MATLAB, Julia)BenefitsCompetitive salary and stock options100% medical and dental insurance coverage (for you and your dependents!)Paid parental leavePaid time off (vacation, sick & public holidays)Flexible time off & flexible hoursFlexibility to work remotely (anywhere in the US or Greece)Interview ProcessOne hour coding test, which may be waived based on level of experience or open source contributions; 30 minute intro and technical screening call with hiring manager; 1-2 calls 30-60 minute calls with potential team members; intro call with CEO or CTO.TileDB, Inc. is proud to be an Equal Opportunity Employer building a diverse and inclusive team. Please consider applying if you have a strong interest in this work, even if you do not meet every line-item in the listing. We believe in hiring for both past experience and for demonstrated potential, and we will read every application we receive.



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Full-time
          



              Job function
            

              Engineering
            



              Industries
            

            Technology, Information and Internet
            
















Referrals increase your chances of interviewing at TileDB by 2x

                See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3816489376
MindPal,Python Developer (internship),Internship,"Summer Internship Opportunity - Python Developer at Mindpal (In collaboration with Sky Gate) Hello!We are on the lookout for 2-3 passionate individuals ready to embark on a 3-month unpaid summer internship as Python Developers. This internship provides an excellent opportunity to gain hands-on experience and practical knowledge in the evolving tech industry, offering a viable alternative to expensive courses or boot camps.At the end of the internship, there is a high probability of transitioning to a paid Junior position within the team, thus kick-starting your career in the tech industry.Don't miss this chance to be part of a team building applications with state-of-the-art AI tools!Responsibilities:Maintain and develop the backend of a recruitment platform based on the Django Rest FrameworkWrite unit tests for new functionalitiesDeliver readable and transparent codeBuild dashboards based on SQL queries and process the resultsHave direct contact with the clientRequirements:Enthusiasm for learning and an open mindKnowledge of Python/Django and an interest in AI/LLMCandidates ready to work from our office in GliwiceWe look forward to hearing from you!RequirementsResponsibilities



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Internship
          



          Employment type
        

          Internship
        



            Job function
          

            Engineering and Information Technology
          



            Industries
          

          Staffing and Recruiting
          
















Referrals increase your chances of interviewing at MindPal by 2x

              See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3703087044
ORC Middleware Test Company,Python Developer,Entry level,"Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.A sensational position is available for a talented Python Developer to join a motivated team within a globally renowned company.As a Python Developer, you will be hands-on, share your technical knowledge and be involved through all development lifecycle whilst leading a team responsible for the development of Python and Linux based automation framework projects.Must have’s to be considered:- Strong Python experience- Linux- Leadership background is a bonus- Confident communication and presentation skills
        


        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



          Employment type
        

          Full-time
        



            Job function
          

            Engineering and Information Technology
          



            Industries
          

          Internet Publishing
          
















Referrals increase your chances of interviewing at ORC Middleware Test Company by 2x

              See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3785017078
Matlen Silver,Python Developer (CLT),Not Applicable,"Direct message the job poster from Matlen Silver



              
          
        Annie Schoppe







            
        Annie Schoppe




              
        Technical Recruiter
      
            

 










Job Title: Python Developer Duration: 12-18 months Location:Charlotte Required Pay Scale: 60-68/hour on W2 ***Due to client requirements this role is only open to USC or GC candidates***   Job Summary: Project Details:Enterprise Finance Technology’s Data Horizontal DevOps team is looking for motivated new talent to enhance the tooling, architecture, and capabilities of several EFT data warehouse and validation systems that are shifting to use containers as their core infrastructure. The candidate will contribute to a range of strategic goals to build automated, controlled and intuitive software solutions in support of the Agile methodology. These solutions will allow self-service and easy-to-manage capabilities for the overall development team in the building, testing and deployment of container-based software. The candidate will also provide technical support and guidance for the processes and mechanisms in support of the above. The candidate will act as both an individual contributor and as part of a global team.   Must Haves-3+ years experience python back end developerIntermediate experience with Python (e.g. Pandas, Data Frames) and use in data processing solutions.Practical working experience with relational databases (RDBMS) preferably Oracle Exadata.Familiarity with Data Warehouse / Data Mart / Business Intelligence concepts.Strong practical working experience with Unix scripting in at least one of Python, Perl, Shell (either bash or zsh).Experience with CI/CD processes and tools (e.g. Ansible, Jenkins).  Desired Skills- OpenShift or Docker Containers-Banking / Capital Markets / Accounting domain knowledge.-Practical working experience using ETL tools, preferably Informatica.-Experience or familiarity with orchestration tools, such as Airflow.  About Matlen Silver Experience Matters. Let your experience be driven by our experience. For more than 40 years, Matlen Silver has delivered solutions for complex talent and technology needs to Fortune 500 companies and industry leaders. Led by hard work, honesty, and a trusted team of experts, we can say that Matlen Silver technology has created a solutions experience and legacy of success that is the difference in the way the world works.   Matlen Silver is an Equal Opportunity Employer and considers all applicants for all positions without regard to race, color, religion, gender, national origin, age, sexual orientation, veteran status, the presence of a non-job-related medical condition or disability, or any other legally protected status. If you are a person with a disability needing assistance with the application or at any point in the hiring process, please contact us at email and/or phone at: info@matlensilver.com // 908-393-8600  
        


        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Not Applicable
          



            Employment type
          

            Contract
          



              Job function
            

              Information Technology
            



              Industries
            

            IT Services and IT Consulting
            
















Referrals increase your chances of interviewing at Matlen Silver by 2x

                See who you know
              







            Featured Benefits
          

            Inferred from the description for this job
          






        Medical insurance
      






        Vision insurance
      






        Dental insurance
      






        401(k)",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3846351734
MindPal,Python Developer,Entry level,"We are looking for a mid/senior Python DeveloperResponsibilitiesMaintenance and development of the backend of an e-commerce application based on Django Rest Framework Writing unit tests for new functionalities Delivering readable and transparent code Building dashboards based on SQL queries and processing the results Direct contact with the client RequirementsMinimum 3 years of experience working with Python Knowledge of Django, Django Rest Framework, Docker, Docker-compose, relational databases (e.g. PostgreSQL), Flask, Redis, Celery, postgresql English at least B2 Understanding the right patterns and algorithms Practical analytical skills Nice to have: Kubernetes, graphql, AWS / Google Cloud as well as Agile / SCRUM / Kanban We OfferB2B contract type Full-time job Remote and flexible working hours



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Full-time
          



              Job function
            

              Engineering and Information Technology
            



              Industries
            

            Staffing and Recruiting
            
















Referrals increase your chances of interviewing at MindPal by 2x

                See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3764603286
"Pyramid Consulting, Inc",Python Developer.,Not Applicable,"Immediate need for a talented Python Developer. This is a 06+ months Contract opportunity with long-term potential and is located in Atlanta, GA(Hybrid). Please review the job description below and contact me ASAP if you are interested.Job ID: 24-05657Pay Range: $70 - $78/hour. Employee benefits include, but are not limited to, health insurance (medical, dental, vision), 401(k) plan, and paid sick leave (depending on work location).Key Requirements and Technology Experience: 2-6 years of experience required.Experience with Python.Experience with AWS Cloud.Experience with Angular.Our client is a leading Airline industry, and we are currently interviewing to fill this and other similar contract positions. If you are interested in this position, please apply online for immediate consideration. Pyramid Consulting, Inc. provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Not Applicable
          



          Employment type
        

          Contract
        



            Job function
          

            Information Technology
          



            Industries
          

          Airlines and Aviation
          
















Referrals increase your chances of interviewing at Pyramid Consulting, Inc by 2x

              See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3828617194
SynergisticIT,Python Programmer (Remote),Entry level,"2024 is finally here and we hope the Job market improves however as per a resume builder survey based on response from more than 900 companies 4 out of 10 companies are planning to have layoffs in 2024 or have a hiring freeze.  Almost 390,000 tech employees have been laid off since 2022 and it's still ongoing. The effect of this has led hundreds of thousands of laid off Tech employees competing with existing Jobseekers. AI is replacing many normal jobs which were done by people. As per news reports Google is planning to Client off 30,000 employees in its ad sales who will be replaed by AI ad technology. Entry level Job seekers struggle to get responses to their applications, are getting ghosted after interviews.  In such a scenario the Job seekers need  to differentiate themselves by ensuring to obtain exceptional skills and technologies so that they can wear multiple roles at a client as clients now would want to expand roles and responsibilities assigned to a particular job to save costs.Since 2010 Synergisticit has helped Jobseekers differentiate themselves by providing candidates the requisite skills and experience to outperform at interviews and clients. Here at SynergisticIT We just don't focus on getting you a Job we make careers.All Positions are open for all visas and US citizensWe are matchmakers we provide clients with candidates who can perform from day 1 of starting work. In this challenging economy every client wants to save $$$'s and they want the best value for their money. Jobseekers need to self-evaluate if they have the requisite skills to meet client requirements and needs as Clients now post covid can also hire remote workers which increases even more competition for jobseekers.We at Synergisticit understand the problem of the mismatch between employer's requirements and Employee skills and that's why since 2010 we have helped 1000's of candidates get jobs at technology clients like  apple, google, Paypal, western union, Client, visa, walmart lab s etc to name a few.We have an excellent reputation with the clients. Currently, We are looking for  entry-level software programmers, Java Full stack developers, Python/Java developers, Data analysts/ Data Scientists, Machine Learning engineers for full time positions with clients.Who Should Apply Recent Computer science/Engineering /Mathematics/Statistics or Science Graduates or People looking to switch careers or who have had gaps in employment and looking to make their careers in the Tech Industry. We assist in filing for STEM extension and also for H1b and Green card filing to CandidatesWe also offer Skill and technology enhancement programs for candidates who are either missing skills or are lacking Industry/Client experience with Projects and skills. Candidates having difficulty in finding jobs or cracking interviews or who wants to improve their skill portfolio. If a Jobseeker is qualified with enough skills and have hands on project work at clients then they should be good to be submitted to clients. Shortlisting and selection are totally based on clients discretion not ours. If you applied for a job and got emails from our skill enhancement team please email them or ask them to take you off their distribution list and make you unavailable as they share the same database with the client servicing team.  please check the below links to see success outcomes of our candidates and our participation at different Tech industry events and how we are different from other organizations in helping Jobseekers secure Tech careers https://www.synergisticit.com/candidate-outcomes/ We regularly interact with the Top Tech companies to give our candidates a competitive advantage-Please see us exhibiting at Oracle Cloud world /Oracle Java one (Las vegas) -2023/2022 and at Gartner Data Analytics Summit (Florida)-2023 https://reg.rf.oracle.com/flow/oracle/cwoh23/OCWExhibitorCatalog/page/OCWexhibitorcatalog https://youtu.be/Rfn8Y0gnfL8?si=p2V4KFv5HukJXTrn https://youtu.be/-HkNN1ag6Zk?si=1NRfgsvL_HJMVb6Q https://www.youtube.com/watch?v=NVBU9RYZ6UI https://www.youtube.com/watch?v=EmO7NrWHkLM https://www.youtube.com/watch?v=OAFOhcGy9Z8For preparing for interviews please visit  https://www.synergisticit.com/interview-questions/ We are looking for the right matching candidates for our clients Please apply via the job postingREQUIRED SKILLS For Java /Full Stack/Software ProgrammerBachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, ITHighly motivated, self-learner, and technically inquisitiveExperience in programming language Java and understanding of the software development life cycleProject work on the skillsKnowledge of Core Java , javascript , C+or software programmingSpring boot, Microservices, Docker, Jenkins and REST API's experienceExcellent written and verbal communication skills For data Science/Machine learning PositionsRequired SkillsBachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, ITProject work on the technologies neededHighly motivated, self-learner, and technically inquisitiveExperience in programming language Java and understanding of the software development life cycleKnowledge of Statistics, SAS, Python, Computer Vision, data visualization toolsExcellent written and verbal communication skills Preferred skills: NLP, Text mining, Tableau, PowerBI, SAS, Tensorflow If you get emails from our skill enhancement team please email them or ask them to take you off their distribution list and make you unavailable as they share the same database with the client servicing team who only connect with candidates who are matching client requirements.  No phone calls please.  Shortlisted candidates would be reached out. No third party or agency candidates or c2c candidates
        


        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



          Employment type
        

          Contract
        



            Job function
          

            Information Technology
          



            Industries
          

          IT Services and IT Consulting
          
















Referrals increase your chances of interviewing at SynergisticIT by 2x

              See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3818360715
HireMeFast LLC,Junior Backend Engineer,Entry level,"This is a remote position.DISCLAIMER: This job posting is intended for active pooling of candidates who will become part of our talent pool. Your qualifications will be assessed against both current and future job openings. Should your application align with a role that corresponds to your skills and experience, and an opportunity arises, our recruitment team will reach out to you immediately. Please note that this does not guarantee immediate placement or contact. Additionally, we exclusively consider applications from individuals who are currently reside in the US/Canada during their application process. Salary: $65,000 - $74,000 per annum Experience Required:  Minimum 1 year of project experienceJob Summary:You will play a key role in implementing new features, optimizing performance, and ensuring the reliability of our applications. This is an excellent opportunity for someone who is passionate about backend development and wants to grow their skills in a dynamic and challenging environment.Responsibilities:Collaborate with the development team to design, develop, and maintain backend systems that meet the needs of our applications. Write clean, maintainable, and efficient code using best practices. Implement new features and functionality based on product requirements. Optimize backend systems for performance, scalability, and reliability. Troubleshoot and resolve software defects and issues on time. Collaborate with cross-functional teams to ensure seamless integration between the backend and frontend components. Participate in code reviews to maintain code quality and provide constructive feedback. Stay up to date with industry trends and technologies related to backend development. Requirements:Bachelor's degree in Computer Science, Engineering, or a related field. Strong understanding of backend development principles and concepts. Proficiency in at least one backend programming language such as Python, Java, or Ruby. Familiarity with web frameworks (e.g., Django, Spring, Ruby on Rails). Experience with relational databases (e.g., MySQL, PostgreSQL) and writing efficient SQL queries. Knowledge of RESTful APIs and experience in building and consuming them. Familiarity with version control systems (e.g., Git). Strong problem-solving skills and attention to detail. Excellent communication and collaboration skills. Ability to work effectively both independently and as part of a team. Preferred Qualifications:Experience with cloud platforms such as AWS, Azure, or Google Cloud. Familiarity with NoSQL databases (e.g., MongoDB, Cassandra). Understanding of containerization and orchestration technologies (e.g., Docker, Kubernetes). Knowledge of CI/CD pipelines and automated testing frameworks. Exposure to front-end technologies such as HTML, CSS, and JavaScript. Active participation in open-source projects or personal coding projects.



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



          Employment type
        

          Full-time
        



            Job function
          

            Information Technology
          



            Industries
          

          Software Development
          
















Referrals increase your chances of interviewing at HireMeFast LLC by 2x

              See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3841074037
MindPal,Python Developer,Entry level,"We are looking for a mid/senior Python DeveloperResponsibilitiesMaintenance and development of the backend of an e-commerce application based on Django Rest Framework Writing unit tests for new functionalities Delivering readable and transparent code Building dashboards based on SQL queries and processing the results Direct contact with the client RequirementsMinimum 3 years of experience working with Python Knowledge of Django, Django Rest Framework, Docker, Docker-compose, relational databases (e.g. PostgreSQL), Flask, Redis, Celery, postgresql English at least B2 Understanding the right patterns and algorithms Practical analytical skills Nice to have: Kubernetes, graphql, AWS / Google Cloud as well as Agile / SCRUM / Kanban We OfferB2B contract type Full-time job Remote and flexible working hours



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



          Employment type
        

          Full-time
        



            Job function
          

            Engineering and Information Technology
          



            Industries
          

          Staffing and Recruiting
          
















Referrals increase your chances of interviewing at MindPal by 2x

              See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3764498916
iTech Solutions,Python Full Stack Developer,Associate,"Role: Python Full Stack DeveloperLocation: Newport Beach, CADuration: Contract   JD: ·         Minimum 3 years relevant professional work experience·         Bachelor's degree in Computer Science, Information Systems, Engineering, related fields or equivalent professional experience·         Cloud/AWS data engineering skillset - Airflow, Glue, Snowflake/Redshift·         Highly skilled in OOP design and development, preferably in Python·         Passion and experience creating DevOps and CICD development framework·         Recent professional experience designing and developing REST-based APIs·         Minimum 2 years experience developing and deploying to cloud providers such as AWS·         The ability to work well independently and in cross-functional teams·         Excellent interpersonal, communication and critical thinking skills·         The ability and desire to learn and adapt in dynamic work environment Nice to have1.      Any experience in Asset Management industry preferably with knowledge of fixed income assets and an understanding of various asset classes would be added advantage2.      Domain knowledge of banking and financial services highly preferred



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Associate
          



          Employment type
        

          Contract
        



            Job function
          

            Engineering and Information Technology
          



            Industries
          

          Information Technology & Services
          
















Referrals increase your chances of interviewing at iTech Solutions by 2x

              See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3715200295
